image_name,labels
1624326629-371279283.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325691-564820246.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328122-075194213.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327694-947167618.png,"['dirt', 'sky', 'tree-trunk', 'tree-foliage']"
1624327915-712721967.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327195-792160368.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329243-863773374.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328963-667648311.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325509-188306684.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328515-300285359.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329084-469599485.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329214-785543832.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328914-422656580.png,"['other-object', 'water', 'sky', 'tree-trunk', 'tree-foliage']"
1624326636-203709827.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326898-309830839.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328168-844238580.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325917-154140613.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329292-104921987.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327108-825378279.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326606-522429513.png,"['grass', 'structure', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328375-671278072.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326312-658271363.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325841-979682848.png,"['other-object', 'log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328821-157644687.png,"['other-object', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328244-082700857.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328361-467151991.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328794-898477472.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329208-353546384.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325792-002370235.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328980-216898545.png,"['sky', 'tree-trunk', 'tree-foliage']"
1624327064-338279482.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328259-358341118.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327530-660731457.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326320-430245300.png,"['grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325745-633029552.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328197-517126047.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328978-005826082.png,"['dirt', 'sky', 'tree-trunk', 'tree-foliage']"
1624328326-559889817.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325947-974357356.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325377-870391343.png,"['other-object', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329287-012135199.png,"['log', 'grass', 'sky', 'tree-trunk', 'tree-foliage']"
1624325539-673859954.png,"['gravel', 'grass', 'structure', 'sky', 'tree-trunk', 'tree-foliage']"
1624328428-869628811.png,"['dirt', 'sky', 'tree-trunk', 'tree-foliage']"
1624326708-032666956.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328873-551999412.png,"['other-object', 'sky', 'tree-trunk', 'tree-foliage']"
1624325983-350774940.png,"['grass', 'rock', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328451-984688907.png,"['other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326907-623725212.png,"['sky', 'grass', 'tree-trunk', 'tree-foliage']"
1624327701-512128030.png,"['dirt', 'sky', 'tree-trunk', 'tree-foliage']"
1624326707-425233375.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325631-531169733.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328218-688993785.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328215-407341940.png,"['other-object', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325298-075235113.png,"['gravel', 'other-object', 'grass', 'structure', 'rock', 'other-terrain', 'sky', 'bush', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328449-304713046.png,"['other-object', 'log', 'grass', 'sky', 'tree-trunk', 'tree-foliage']"
1624329317-432054308.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328441-063673271.png,"['other-object', 'grass', 'structure', 'other-terrain', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327512-236186465.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328769-299172994.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328629-871198280.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327659-240337011.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326628-431632397.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325399-642454064.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325916-350158553.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326942-128135002.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327608-917354171.png,"['other-object', 'log', 'grass', 'sky', 'tree-trunk', 'tree-foliage']"
1624326342-808313628.png,"['gravel', 'other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624325907-171181224.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327602-820507261.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326313-464052392.png,"['other-object', 'sky', 'tree-trunk', 'tree-foliage']"
1624329293-176116215.png,"['sky', 'grass', 'tree-trunk', 'tree-foliage']"
1624327263-261721563.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326199-494276709.png,"['other-object', 'grass', 'structure', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327143-799756415.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326314-601183931.png,"['other-object', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624329064-235446346.png,"['grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327079-010193098.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624326669-704461179.png,"['other-object', 'grass', 'sky', 'tree-trunk', 'tree-foliage']"
1624328332-254832293.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327369-792403462.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328231-553130351.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624327948-612308560.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328268-939343430.png,"['log', 'grass', 'sky', 'dirt', 'tree-trunk', 'tree-foliage']"
1624328979-546830728.png,"['sky', 'grass', 'tree-trunk', 'tree-foliage']"
